tm_Vol,tm_Clo,bel_Vol,bel_Clo,nmdc_Vol,nmdc_Clo,ongc_Vol,ongc_Clo,hdfc_Vol,hdfc_Clo
7048915,362.9569091796875,1593207,10.14444447,1674644,138.8500061,2072871,183.13333129882807,8971322,328.79998779296875
8827030,364.5894165039063,1136223,10.08737278,1200964,138.6000061,2720293,187.5,7043658,333.125
7497623,365.6282653808594,656568,10.15858459,4132824,135.3999939,4061350,182.46665954589844,5009758,326.2749938964844
5363939,369.7342224121094,2474604,10.04646397,2308533,136.5,5963964,189.86666870117188,2861234,332.29998779296875
3263969,371.6635437011719,2461338,10.07575703,1104770,138.6499939,2515168,192.5333404541016,2765616,332.2250061035156
2297787,368.69537353515625,1455399,10.13838291,1001336,138.1999969,2232475,190.5,1777348,328.6499938964844
5597813,366.3208312988281,1624986,10.17525196,4645561,138.6499939,6470409,194.86666870117188,4023380,334.5249938964844
3337688,367.9533386230469,1365804,10.16010094,2757728,141.5,2556571,194.6999969482422,2732006,334.82501220703125
3732808,370.8225708007813,1214730,10.10807991,2321946,142.4499969,4264729,193.0333404541016,2113802,334.75
4388182,372.4055786132813,1107612,10.39797878,1788494,141.8999939,4184544,192.6000061035156,2630656,332.92498779296875
1364747,370.9709777832031,1242054,10.35606003,768296,142.8000031,984393,192.0666656494141,2246218,332.57501220703125
3015089,368.3985595703125,1185822,10.31565571,2445731,140.3000031,2977998,187.8000030517578,3614496,328.5
5004049,358.8509521484375,605682,10.25151539,1833292,138.5,5739327,183.86666870117188,3256592,331.54998779296875
5490077,363.0558471679688,754182,10.36818123,1485711,137.0,3474246,187.3000030517578,2981710,330.8500061035156
4020899,361.2254943847656,763488,10.3171711,2815580,136.1499939,3450486,184.1666717529297,3948460,332.20001220703125
5455728,366.3208312988281,391446,10.29141426,4188602,138.8999939,3326023,182.13333129882807,2324740,332.3500061035156
3603790,364.0452575683594,545292,10.22272682,2761720,139.4499969,3859131,186.86666870117188,1888736,331.4750061035156
3100755,363.1053466796875,3008709,10.00454521,1036594,139.1499939,6543391,189.36666870117188,3075254,331.0249938964844
6706639,372.1582336425781,500742,10.1580801,1837764,141.6499939,5393956,195.26666259765625,2376290,336.42498779296875
3272370,367.8544006347656,380556,10.16161633,1744328,138.3000031,4029163,193.5,1788560,336.1499938964844
4846708,373.2960205078125,598257,10.11060619,3800666,142.6499939,3274846,194.5333404541016,2313920,340.2749938964844
7788351,365.8261413574219,3479949,10.05908966,2718643,144.6499939,4287568,191.3000030517578,2250588,336.5249938964844
5000974,365.7766723632813,652014,10.06616116,3490906,145.5,6041319,191.6666717529297,21687428,332.5
3246922,370.9215087890625,597069,10.15959454,2078640,143.75,5956990,191.43333435058597,2800184,335.0249938964844
5781491,380.7164306640625,335115,10.07070732,2312941,144.8000031,4932865,191.3333282470703,3125962,338.04998779296875
5654756,382.0026245117188,356202,10.10706997,1826757,145.0,3596491,193.1999969482422,3516668,338.54998779296875
3790225,379.5291748046875,531531,10.14444447,4349357,145.1000061,4896042,190.0666656494141,2741370,339.75
3620342,366.46923828125,4754673,9.818181038,3449844,145.6000061,3413026,188.8000030517578,4421450,336.70001220703125
9238425,344.5543212890625,7581420,9.573737144,4089765,142.0500031,4015431,184.6666717529297,8530224,324.6000061035156
6612172,352.46942138671875,23056704,9.646464348,2566051,141.6999969,3089977,183.5,9197712,322.2250061035156
3287502,348.0171813964844,8881389,9.514141083,3820864,142.8500061,3441988,184.6666717529297,5485462,322.7250061035156
9116541,357.9110412597656,1418373,9.442929268,5818433,141.9499969,9096282,181.46665954589844,5712730,315.8999938964844
6933187,345.84051513671875,378675,9.378787041,4641892,145.0,4630932,183.6999969482422,4810492,314.25
5637192,332.830078125,1888623,9.227776527,3213964,142.3000031,5791563,178.53334045410156,2388410,313.25
11461601,342.1797790527344,1397682,9.314141273,4119238,137.8500061,4656093,178.6666717529297,3704652,315.29998779296875
9438000,351.33160400390625,775863,9.277776718,2692102,140.1999969,4204678,180.1666717529297,3452692,318.7250061035156
8085726,353.85455322265625,13178385,9.17171669,5501377,143.3000031,3090261,178.60000610351562,6733472,323.5
5491087,356.37750244140625,8048304,9.243433952,4010746,144.8999939,2612397,179.53334045410156,2014734,323.875
6579782,360.1866455078125,3056427,9.377271652,2364560,143.9499969,3487869,181.5,3140410,321.95001220703125
15829803,370.5257263183594,487773,9.399494171,5698816,145.0,7517380,183.96665954589844,2232428,322.3999938964844
7803372,372.6529235839844,716958,9.615655899,2480576,144.75,4983084,188.73333740234372,3218480,322.7250061035156
6825757,371.9603576660156,1029105,9.666666031,2345024,142.8500061,3188418,182.3333282470703,1577600,316.25
6760699,384.6739807128906,554697,9.785858154,1291080,145.4499969,3763402,184.26666259765625,2124556,320.8999938964844
8642839,382.4973449707031,1166913,9.592424393,1322728,138.1499939,2211294,185.1666717529297,1825060,325.20001220703125
6076398,387.2463989257813,269874,9.483838081,1722130,137.75,3885427,184.5333404541016,2509836,330.20001220703125
3946755,387.3453369140625,272250,9.474746704,1788301,136.9499969,2483551,186.26666259765625,2030474,335.0249938964844
6735367,387.6916198730469,239085,9.423232079,1147506,135.3500061,1881969,184.13333129882807,1724218,331.375
6397085,391.9954528808594,1192851,9.380807877,524936,137.1499939,1780107,184.63333129882807,1521936,332.20001220703125
5249755,392.34173583984375,239382,9.368181229,653252,135.3000031,2267130,188.13333129882807,2509492,335.5
3064479,394.2710571289063,260271,9.536868095,2497654,131.6000061,2520849,187.8333282470703,2010280,335.54998779296875
7317594,396.9423828125,9164430,9.429797173,6103916,126.9000015,9585442,188.96665954589844,2275670,338.70001220703125
12677990,412.5252685546875,14835942,9.3959589,2417302,127.5,6271645,194.23333740234372,2451792,334.79998779296875
6684037,406.3415832519531,10444995,9.355554581,1550209,129.0,3276279,193.73333740234372,1839216,333.1000061035156
5615889,408.5182189941406,3772098,9.326766968,1772281,133.0500031,3145473,197.23333740234372,3221934,335.8500061035156
4045134,405.2532653808594,3780117,9.780303001,1980909,131.9499969,5290740,200.3333282470703,2003492,334.875
5718053,404.1154479980469,7806249,9.917170525,1653383,132.1999969,3676197,205.8999938964844,2474340,337.79998779296875
6061674,404.758544921875,8801199,9.871717453,3533902,131.75,5233306,210.73333740234372,11383784,355.7250061035156
5839956,391.7975769042969,5418369,9.963130951,4247768,128.3500061,7879053,213.26666259765625,13061926,367.2250061035156
6113727,393.7268981933594,1009800,10.01262569,3782159,125.0,8420449,215.3999938964844,6500236,362.5750122070313
4526604,384.7234497070313,3593007,9.86666584,2483990,127.0,5924997,211.3000030517578,3555108,362.7749938964844
3899249,383.8824768066406,11308473,10.07626247,2226197,126.0999985,7489342,216.1000061035156,5724226,371.1749877929688
3242784,389.0767517089844,1165032,10.16666603,1835461,129.25,4721476,215.1666717529297,6104240,366.0750122070313
6884223,377.2041015625,10673586,10.33636284,2186564,129.3999939,10533424,216.63333129882807,4051362,367.0
6332285,380.2712097167969,1584000,10.37828159,1528458,131.0500031,6549433,209.1999969482422,3027568,369.2250061035156
4136724,375.6705627441406,419661,10.28181839,1995529,132.1499939,7422490,210.5333404541016,2597542,365.1000061035156
5746378,385.020263671875,3121569,10.00302982,2047170,128.8500061,13362849,204.26666259765625,3762796,366.9249877929688
3193454,387.3453369140625,9114633,10.68535328,2926471,134.5,10079613,214.0666656494141,5856930,375.3250122070313
3932786,386.7022399902344,4521528,10.70555496,2378955,134.75,10734699,213.26666259765625,4015546,375.0750122070313
7426496,397.38763427734375,6591519,10.91262627,1877599,134.9499969,5695686,216.86666870117188,4704656,373.0249938964844
9264824,392.4901428222656,4353525,11.24494934,3460353,135.4499969,14993080,220.6666717529297,12277466,373.375
3401201,393.0837707519531,5565780,11.58838272,1744396,138.5500031,3774826,219.6000061035156,6080450,372.4750061035156
4162936,394.4194641113281,3295611,11.59545422,2127730,139.25,6561028,212.46665954589844,4131214,374.3999938964844
3988380,398.8717041015625,1723986,11.40050507,1137096,137.6000061,3708562,215.86666870117188,4025916,369.0499877929688
6361767,409.70550537109375,3538854,11.21262646,1209082,138.75,3885141,220.0,5199376,365.9500122070313
5358380,406.9846801757813,2290662,11.00353527,4535394,140.8500061,3753628,217.5,2779852,364.3999938964844
2931936,401.19677734375,40951845,11.47929192,2843361,140.3999939,18229063,217.1000061035156,3711204,362.7250061035156
3833276,399.7126770019531,5336694,11.25504971,2633921,143.6999969,5333112,217.0666656494141,5866578,362.6749877929688
6959992,416.433349609375,6257295,11.47373676,4984999,147.3500061,10705383,214.96665954589844,5260192,370.9249877929688
6388136,426.228271484375,17269659,12.29494858,3306471,149.6999969,11309751,214.63333129882807,3747396,369.7000122070313
6147582,419.1046752929688,14943852,12.15909004,5277218,151.0500031,12173271,213.3333282470703,2603976,369.0750122070313
6939177,407.5783081054688,15661899,12.38636303,1421985,150.0500031,9429672,212.8999938964844,4185934,361.9750061035156
3823079,406.7868041992188,7472421,12.17020226,1551837,149.1000061,6708399,211.0333404541016,1786196,362.9750061035156
4626464,424.54632568359375,5620626,12.2494936,2052946,148.9499969,7918710,214.8999938964844,6151164,359.3500061035156
2848869,427.5144653320313,4842486,12.37323189,1631317,150.25,4246374,215.3999938964844,3493876,358.2250061035156
2514731,424.24951171875,4471434,12.38030338,1227086,150.6000061,7023375,217.5666656494141,5697912,363.7749938964844
5441306,420.539306640625,8229969,12.47878742,2676883,149.3000031,9030352,217.3333282470703,10512672,366.5
0,420.539306640625,0,12.47878742,0,149.3000031,0,217.3333282470703,0,366.5
4162636,418.7583923339844,3806154,12.55303001,3198436,151.3999939,5190372,213.96665954589844,3106222,363.2000122070313
3555731,412.0305480957031,3372039,12.53888798,1381040,149.9499969,3444432,214.23333740234372,2441430,362.6000061035156
2405270,404.6101379394531,6217299,12.62676716,2525270,150.3000031,2737183,213.5333404541016,3320618,357.8999938964844
5643784,410.3486022949219,11550726,12.22828197,2290180,150.1999969,10052065,216.73333740234372,4393460,360.6499938964844
2847110,410.3486022949219,5228487,12.24494934,3375235,152.1999969,5110098,219.5333404541016,2957646,358.54998779296875
2476756,410.0517883300781,3672306,12.42828178,2582896,149.6999969,7234153,223.6000061035156,2596162,358.3500061035156
2765256,414.701904296875,2044152,12.44646358,1376943,149.8500061,5298778,224.8000030517578,3092280,360.1000061035156
3416541,412.2778930664063,2963268,12.39242363,1482165,150.1499939,5042044,223.43333435058597,3299312,357.79998779296875
3073390,418.5605163574219,6098103,12.2247467,1804555,149.6499939,5767284,222.6666717529297,3760214,359.1499938964844
5055987,422.9632873535156,8359362,12.32828236,1801135,149.8500061,8914516,231.96665954589844,8188222,378.3999938964844
6378245,440.4754638671875,9321048,12.58989811,4383468,151.6000061,8032885,239.0666656494141,8780680,396.0750122070313
5529371,436.27056884765625,37588716,13.53636265,3794266,151.75,10452624,248.3999938964844,6332608,394.0750122070313
2909047,437.65570068359375,13671702,13.39343357,4607495,159.1999969,7067424,245.3999938964844,4250750,387.7250061035156
4399959,434.9843444824219,6781797,13.44696903,4058646,154.8999939,8127180,252.36666870117188,4733094,394.1749877929688
9495197,445.07611083984375,22700304,14.30202007,6015717,161.8999939,20039530,256.1000061035156,16434184,402.3500061035156
